Organism,DomainID
Capsicum annuum (Bell pepper),IRD-112
Capsicum annuum (Bell pepper),IRD-113
Capsicum annuum (Bell pepper),IRD-114
Capsicum annuum (Bell pepper),IRD-115
Capsicum annuum (Bell pepper),IRD-116
Capsicum annuum (Bell pepper),IRD-117
Capsicum annuum (Bell pepper),IRD-118
Capsicum baccatum (Peruvian pepper),IRD-119
Capsicum annuum (Bell pepper),IRD-120
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-122
Capsicum annuum (Bell pepper),IRD-123
Capsicum annuum (Bell pepper),IRD-125
Capsicum annuum (Bell pepper),IRD-126
Capsicum annuum (Bell pepper),IRD-127
Capsicum annuum (Bell pepper),IRD-128
Capsicum annuum (Bell pepper),IRD-129
Capsicum annuum (Bell pepper),IRD-130
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-131
Capsicum baccatum (Peruvian pepper),IRD-133
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-134
Capsicum annuum (Bell pepper),IRD-135
Capsicum annuum (Bell pepper),IRD-136
Capsicum annuum (Bell pepper),IRD-139
Capsicum baccatum (Peruvian pepper),IRD-140
Capsicum annuum (Bell pepper),IRD-141
Capsicum baccatum (Peruvian pepper),IRD-142
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-143
Capsicum baccatum (Peruvian pepper),IRD-144
Capsicum annuum (Bell pepper),IRD-145
Capsicum annuum (Bell pepper),IRD-146
Capsicum annuum (Bell pepper),IRD-147
Capsicum annuum (Bell pepper),IRD-149
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-150
Nicotiana glutinosa (Tobacco),IRD-160
Nicotiana glutinosa (Tobacco),IRD-161
Nicotiana glutinosa (Tobacco),IRD-162
Nicotiana glutinosa (Tobacco),IRD-163
Nicotiana glutinosa (Tobacco),IRD-164
Nicotiana attenuata (Coyote tobacco),IRD-176
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-199
Nicotiana tabacum (Common tobacco),IRD-202
Nicotiana attenuata (Coyote tobacco),IRD-219
Nicotiana attenuata (Coyote tobacco),IRD-220
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-229
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-231
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-234
Solanum tuberosum (Potato),IRD-238
Nicotiana glutinosa (Tobacco),IRD-241
Solanum chacoense (Chaco potato),IRD-249
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-256
Capsicum baccatum (Peruvian pepper),IRD-273
Solanum chacoense (Chaco potato),IRD-278
Solanum tuberosum (Potato),IRD-279
Capsicum baccatum (Peruvian pepper),IRD-281
Capsicum annuum (Bell pepper),IRD-282
Cuscuta australis,IRD-284
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-287
Capsicum baccatum (Peruvian pepper),IRD-288
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-294
Capsicum annuum (Bell pepper),IRD-296
Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus),IRD-300
Juglans regia (English walnut),IRD-305
Apostasia shenzhenica,IRD-309
Capsicum annuum (Bell pepper),IRD-316
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-317
Capsicum baccatum (Peruvian pepper),IRD-318
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-319
Quercus suber (Cork oak),IRD-326
Punica granatum (Pomegranate),IRD-327
Quercus suber (Cork oak),IRD-328
Triticum aestivum (Wheat),IRD-329
Dendrobium catenatum,IRD-330
Panicum hallii,IRD-332
Hordeum vulgare subsp. vulgare (Domesticated barley),IRD-333
Dichanthelium oligosanthes,IRD-334
Coffea canephora (Robusta coffee),IRD-335
Ananas comosus (Pineapple) (Ananas ananas),IRD-337
Panicum hallii var. hallii,IRD-338
Genlisea aurea,IRD-339
Capsicum baccatum (Peruvian pepper),IRD-343
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-344
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-347
Capsicum baccatum (Peruvian pepper),IRD-347
Capsicum baccatum (Peruvian pepper),IRD-348
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-349
Rosa chinensis (China rose),IRD-350
Rosa chinensis (China rose),IRD-353
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-354
Capsicum baccatum (Peruvian pepper),IRD-354
Capsicum annuum (Bell pepper),IRD-354
Rosa chinensis (China rose),IRD-355
Eucalyptus grandis (Flooded gum),IRD-356
Prunus yedoensis var. nudiflora,IRD-358
Capsicum baccatum (Peruvian pepper),IRD-361
Setaria italica (Foxtail millet) (Panicum italicum),IRD-362
Setaria italica (Foxtail millet) (Panicum italicum),IRD-363
Panicum hallii var. hallii,IRD-364
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-365
Coffea canephora (Robusta coffee),IRD-366
Coffea canephora (Robusta coffee),IRD-367
Rosa chinensis (China rose),IRD-369
Genlisea aurea,IRD-370
Daucus carota subsp. sativus,IRD-371
Quercus suber (Cork oak),IRD-374
Capsicum baccatum (Peruvian pepper),IRD-377
Solanum tuberosum (Potato),IRD-380
Oryza meridionalis,IRD-384
Leersia perrieri,IRD-385
Oryza brachyantha,IRD-386
Leersia perrieri,IRD-388
Rosa chinensis (China rose),IRD-389
Dichanthelium oligosanthes,IRD-392
Spinacia oleracea (Spinach),IRD-393
Dichanthelium oligosanthes,IRD-395
Mucuna pruriens (Velvet bean) (Dolichos pruriens),IRD-399
Capsicum annuum (Bell pepper),IRD-404
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-406
Capsicum baccatum (Peruvian pepper),IRD-410
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-412
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-414
Capsicum annuum (Bell pepper),IRD-416
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-421
Capsicum baccatum (Peruvian pepper),IRD-422
Solanum tuberosum (Potato),IRD-425
Solanum chacoense (Chaco potato),IRD-426
Solanum tuberosum (Potato),IRD-433
Solanum chacoense (Chaco potato),IRD-434
Solanum chacoense (Chaco potato),IRD-437
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-438
Cuscuta australis,IRD-439
Nicotiana glutinosa (Tobacco),IRD-440
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-444
Capsicum annuum (Bell pepper),IRD-447
Capsicum annuum (Bell pepper),IRD-448
Capsicum baccatum (Peruvian pepper),IRD-451
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-461
Capsicum baccatum (Peruvian pepper),IRD-463
Solanum tuberosum (Potato),IRD-465
Solanum chacoense (Chaco potato),IRD-467
Solanum tuberosum (Potato),IRD-468
Capsicum baccatum (Peruvian pepper),IRD-473
Capsicum annuum (Bell pepper),IRD-474
Solanum chacoense (Chaco potato),IRD-475
Solanum tuberosum (Potato),IRD-476
Capsicum baccatum (Peruvian pepper),IRD-477
Capsicum annuum (Bell pepper),IRD-479
Nicotiana sylvestris (Wood tobacco) (South American tobacco),IRD-480
Solanum tuberosum (Potato),IRD-490
Solanum tuberosum (Potato),IRD-494
Solanum chacoense (Chaco potato),IRD-496
Solanum chacoense (Chaco potato),IRD-498
Capsicum annuum (Bell pepper),IRD-502
Capsicum baccatum (Peruvian pepper),IRD-506
Nicotiana attenuata (Coyote tobacco),IRD-508
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-513
Solanum nigrum (Black nightshade),IRD-515
Capsicum baccatum (Peruvian pepper),IRD-517
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-518
Capsicum annuum (Bell pepper),IRD-518
Capsicum annuum (Bell pepper),IRD-528
Capsicum annuum (Bell pepper),IRD-534
Capsicum annuum (Bell pepper),IRD-537
Capsicum baccatum (Peruvian pepper),IRD-538
Capsicum annuum (Bell pepper),IRD-541
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-542
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-543
Capsicum annuum (Bell pepper),IRD-544
Capsicum annuum (Bell pepper),IRD-545
Capsicum annuum (Bell pepper),IRD-546
Capsicum annuum (Bell pepper),IRD-547
Capsicum annuum (Bell pepper),IRD-548
Capsicum annuum (Bell pepper),IRD-549
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-551
Capsicum annuum (Bell pepper),IRD-552
Capsicum annuum (Bell pepper),IRD-553
Capsicum annuum (Bell pepper),IRD-554
Capsicum annuum (Bell pepper),IRD-555
Capsicum annuum (Bell pepper),IRD-556
Capsicum annuum (Bell pepper),IRD-557
Capsicum annuum (Bell pepper),IRD-558
Capsicum baccatum (Peruvian pepper),IRD-559
Capsicum annuum (Bell pepper),IRD-561
Capsicum annuum (Bell pepper),IRD-562
Capsicum annuum (Bell pepper),IRD-564
Nicotiana attenuata (Coyote tobacco),IRD-576
Nicotiana glutinosa (Tobacco),IRD-579
Nicotiana glutinosa (Tobacco),IRD-580
Nicotiana glutinosa (Tobacco),IRD-581
Nicotiana attenuata (Coyote tobacco),IRD-587
Nicotiana attenuata (Coyote tobacco),IRD-588
Nicotiana glutinosa (Tobacco),IRD-610
Nicotiana glutinosa (Tobacco),IRD-611
Nicotiana glutinosa (Tobacco),IRD-612
Nicotiana tabacum (Common tobacco),IRD-620
Nicotiana alata (Winged tobacco) (Persian tobacco),IRD-653
Nicotiana tabacum (Common tobacco),IRD-653
Nicotiana tabacum (Common tobacco),IRD-656
Parasponia andersonii (Sponia andersonii),IRD-676
Dorcoceras hygrometricum,IRD-677
Handroanthus impetiginosus,IRD-678
Coffea canephora (Robusta coffee),IRD-680
Morus notabilis,IRD-681
Coffea canephora (Robusta coffee),IRD-685
Saccharum hybrid cultivar R570,IRD-687
Solanum chacoense (Chaco potato),IRD-691
Capsicum chinense (Scotch bonnet) (Bonnet pepper),IRD-692
Capsicum annuum (Bell pepper),IRD-693
Cuscuta australis,IRD-698
