ID,DomainID,Organism
454,IRD-454,Solanum tuberosum (Potato)
455,IRD-455,Solanum nigrum (Black nightshade)
455,IRD-455,Solanum americanum (American black nightshade) (Solanum nodiflorum)
456,IRD-456,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
457,IRD-457,Solanum americanum (American black nightshade) (Solanum nodiflorum)
458,IRD-458,Solanum nigrum (Black nightshade)
459,IRD-459,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
460,IRD-460,Solanum americanum (American black nightshade) (Solanum nodiflorum)
461,IRD-461,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
462,IRD-462,Nicotiana repanda
463,IRD-463,Capsicum baccatum (Peruvian pepper)
464,IRD-464,Solanum tuberosum (Potato)
465,IRD-465,Solanum tuberosum (Potato)
466,IRD-466,Solanum tuberosum (Potato)
467,IRD-467,Solanum tuberosum (Potato)
467,IRD-467,Solanum phureja
467,IRD-467,Solanum chacoense (Chaco potato)
468,IRD-468,Solanum tuberosum (Potato)
469,IRD-469,Solanum tuberosum (Potato)
470,IRD-470,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
470,IRD-470,Solanum tuberosum (Potato)
471,IRD-471,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
472,IRD-472,Capsicum annuum (Bell pepper)
472,IRD-472,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
473,IRD-473,Capsicum baccatum (Peruvian pepper)
474,IRD-474,Capsicum annuum (Bell pepper)
475,IRD-475,Solanum tuberosum (Potato)
475,IRD-475,Solanum chacoense (Chaco potato)
476,IRD-476,Solanum tuberosum (Potato)
477,IRD-477,Capsicum baccatum (Peruvian pepper)
478,IRD-478,Solanum tuberosum (Potato)
479,IRD-479,Capsicum annuum (Bell pepper)
480,IRD-480,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
481,IRD-481,Solanum tuberosum (Potato)
482,IRD-482,Capsicum annuum (Bell pepper)
483,IRD-483,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
484,IRD-484,Solanum tuberosum (Potato)
485,IRD-485,Solanum tuberosum (Potato)
486,IRD-486,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
487,IRD-487,Solanum phureja
488,IRD-488,Solanum tuberosum (Potato)
489,IRD-489,Solanum tuberosum (Potato)
490,IRD-490,Solanum tuberosum (Potato)
491,IRD-491,Capsicum annuum (Bell pepper)
492,IRD-492,Nicotiana repanda
493,IRD-493,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
494,IRD-494,Solanum tuberosum (Potato)
495,IRD-495,Solanum tuberosum (Potato)
496,IRD-496,Solanum tuberosum (Potato)
496,IRD-496,Solanum chacoense (Chaco potato)
497,IRD-497,Solanum tuberosum (Potato)
498,IRD-498,Solanum chacoense (Chaco potato)
499,IRD-499,Solanum tuberosum (Potato)
500,IRD-500,Solanum tuberosum (Potato)
501,IRD-501,Nicotiana tabacum (Common tobacco)
502,IRD-502,Capsicum annuum (Bell pepper)
503,IRD-503,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
504,IRD-504,Solanum tuberosum (Potato)
505,IRD-505,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
506,IRD-506,Capsicum baccatum (Peruvian pepper)
507,IRD-507,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
508,IRD-508,Nicotiana attenuata (Coyote tobacco)
509,IRD-509,Nicotiana megalosiphon
510,IRD-510,Nicotiana linearis
511,IRD-511,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
512,IRD-512,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
513,IRD-513,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
514,IRD-514,Nicotiana tabacum (Common tobacco)
515,IRD-515,Solanum nigrum (Black nightshade)
516,IRD-516,Solanum nigrum (Black nightshade)
517,IRD-517,Capsicum baccatum (Peruvian pepper)
518,IRD-518,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
518,IRD-518,Capsicum annuum (Bell pepper)
519,IRD-519,Capsicum annuum (Bell pepper)
520,IRD-520,Capsicum annuum (Bell pepper)
521,IRD-521,Capsicum annuum (Bell pepper)
522,IRD-522,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
523,IRD-523,Nicotiana tabacum (Common tobacco)
524,IRD-524,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
525,IRD-525,Solanum tuberosum (Potato)
526,IRD-526,Solanum nigrum (Black nightshade)
527,IRD-527,Solanum lycopersicum (Tomato) (Lycopersicon esculentum)
528,IRD-528,Capsicum annuum (Bell pepper)
529,IRD-529,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
529,IRD-529,Nicotiana tabacum (Common tobacco)
530,IRD-530,Nicotiana tabacum (Common tobacco)
531,IRD-531,Nicotiana tabacum (Common tobacco)
532,IRD-532,Nicotiana tabacum (Common tobacco)
533,IRD-533,Nicotiana miersii
534,IRD-534,Capsicum annuum (Bell pepper)
535,IRD-535,Nicotiana linearis
535,IRD-535,Nicotiana spegazzinii
536,IRD-536,Capsicum annuum (Bell pepper)
537,IRD-537,Capsicum annuum (Bell pepper)
538,IRD-538,Capsicum baccatum (Peruvian pepper)
539,IRD-539,Capsicum annuum (Bell pepper)
540,IRD-540,Capsicum annuum (Bell pepper)
541,IRD-541,Capsicum annuum (Bell pepper)
542,IRD-542,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
543,IRD-543,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
544,IRD-544,Capsicum annuum (Bell pepper)
545,IRD-545,Capsicum annuum (Bell pepper)
546,IRD-546,Capsicum annuum (Bell pepper)
547,IRD-547,Capsicum annuum (Bell pepper)
548,IRD-548,Capsicum annuum (Bell pepper)
549,IRD-549,Capsicum annuum (Bell pepper)
550,IRD-550,Capsicum annuum (Bell pepper)
551,IRD-551,Capsicum annuum (Bell pepper)
551,IRD-551,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
552,IRD-552,Capsicum annuum (Bell pepper)
553,IRD-553,Capsicum annuum (Bell pepper)
554,IRD-554,Capsicum annuum (Bell pepper)
555,IRD-555,Capsicum annuum (Bell pepper)
556,IRD-556,Capsicum annuum (Bell pepper)
557,IRD-557,Capsicum annuum (Bell pepper)
558,IRD-558,Capsicum annuum (Bell pepper)
559,IRD-559,Capsicum annuum (Bell pepper)
559,IRD-559,Capsicum baccatum (Peruvian pepper)
560,IRD-560,Capsicum annuum (Bell pepper)
561,IRD-561,Capsicum annuum (Bell pepper)
562,IRD-562,Capsicum annuum (Bell pepper)
563,IRD-563,Capsicum annuum (Bell pepper)
564,IRD-564,Capsicum annuum (Bell pepper)
565,IRD-565,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
566,IRD-566,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
567,IRD-567,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
568,IRD-568,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
569,IRD-569,Nicotiana acuminata (Acuminate tobacco)
570,IRD-570,Nicotiana acuminata (Acuminate tobacco)
571,IRD-571,Nicotiana acuminata (Acuminate tobacco)
572,IRD-572,Nicotiana acuminata (Acuminate tobacco)
573,IRD-573,Nicotiana tabacum (Common tobacco)
574,IRD-574,Nicotiana clevelandii (Wild tobacco)
575,IRD-575,Nicotiana quadrivalvis
576,IRD-576,Nicotiana attenuata (Coyote tobacco)
577,IRD-577,Nicotiana corymbosa
578,IRD-578,Nicotiana tabacum (Common tobacco)
579,IRD-579,Nicotiana glutinosa (Tobacco)
580,IRD-580,Nicotiana glutinosa (Tobacco)
581,IRD-581,Nicotiana glutinosa (Tobacco)
582,IRD-582,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
583,IRD-583,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
584,IRD-584,Nicotiana acuminata (Acuminate tobacco)
585,IRD-585,Nicotiana acuminata (Acuminate tobacco)
586,IRD-586,Nicotiana tabacum (Common tobacco)
587,IRD-587,Nicotiana attenuata (Coyote tobacco)
588,IRD-588,Nicotiana attenuata (Coyote tobacco)
589,IRD-589,Nicotiana linearis
590,IRD-590,Nicotiana spegazzinii
591,IRD-591,Nicotiana obtusifolia
592,IRD-592,Nicotiana obtusifolia
593,IRD-593,Nicotiana obtusifolia
594,IRD-594,Nicotiana rustica (Aztec tobacco)
595,IRD-595,Nicotiana tabacum (Common tobacco)
596,IRD-596,Nicotiana tabacum (Common tobacco)
597,IRD-597,Nicotiana tabacum (Common tobacco)
598,IRD-598,Nicotiana tabacum (Common tobacco)
599,IRD-599,Nicotiana tabacum (Common tobacco)
600,IRD-600,Nicotiana clevelandii (Wild tobacco)
600,IRD-600,Nicotiana quadrivalvis
601,IRD-601,Nicotiana tabacum (Common tobacco)
602,IRD-602,Nicotiana tabacum (Common tobacco)
603,IRD-603,Nicotiana tabacum (Common tobacco)
604,IRD-604,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
605,IRD-605,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
606,IRD-606,Nicotiana alata (Winged tobacco) (Persian tobacco)
606,IRD-606,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
606,IRD-606,Nicotiana tabacum (Common tobacco)
607,IRD-607,Nicotiana quadrivalvis
607,IRD-607,Nicotiana obtusifolia
608,IRD-608,Nicotiana obtusifolia
609,IRD-609,Nicotiana obtusifolia
610,IRD-610,Nicotiana glutinosa (Tobacco)
611,IRD-611,Nicotiana glutinosa (Tobacco)
612,IRD-612,Nicotiana glutinosa (Tobacco)
613,IRD-613,Nicotiana rustica (Aztec tobacco)
614,IRD-614,Nicotiana rustica (Aztec tobacco)
615,IRD-615,Nicotiana attenuata (Coyote tobacco)
616,IRD-616,Nicotiana attenuata (Coyote tobacco)
617,IRD-617,Nicotiana attenuata (Coyote tobacco)
618,IRD-618,Nicotiana attenuata (Coyote tobacco)
619,IRD-619,Nicotiana attenuata (Coyote tobacco)
619,IRD-619,Nicotiana pauciflora
620,IRD-620,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
620,IRD-620,Nicotiana tabacum (Common tobacco)
621,IRD-621,Nicotiana tabacum (Common tobacco)
622,IRD-622,Nicotiana tabacum (Common tobacco)
623,IRD-623,Nicotiana alata (Winged tobacco) (Persian tobacco)
624,IRD-624,Nicotiana alata (Winged tobacco) (Persian tobacco)
625,IRD-625,Nicotiana tabacum (Common tobacco)
626,IRD-626,Nicotiana tabacum (Common tobacco)
627,IRD-627,Nicotiana tabacum (Common tobacco)
628,IRD-628,Nicotiana tabacum (Common tobacco)
629,IRD-629,Nicotiana pauciflora
630,IRD-630,Nicotiana pauciflora
631,IRD-631,Nicotiana pauciflora
632,IRD-632,Nicotiana tabacum (Common tobacco)
633,IRD-633,Nicotiana miersii
634,IRD-634,Nicotiana miersii
635,IRD-635,Nicotiana miersii
636,IRD-636,Nicotiana clevelandii (Wild tobacco)
637,IRD-637,Nicotiana clevelandii (Wild tobacco)
637,IRD-637,Nicotiana quadrivalvis
638,IRD-638,Nicotiana clevelandii (Wild tobacco)
638,IRD-638,Nicotiana quadrivalvis
639,IRD-639,Nicotiana occidentalis subsp. hesperis
640,IRD-640,Nicotiana benthamiana
640,IRD-640,Nicotiana occidentalis subsp. hesperis
641,IRD-641,Nicotiana occidentalis subsp. hesperis
642,IRD-642,Nicotiana repanda
643,IRD-643,Nicotiana megalosiphon
644,IRD-644,Nicotiana simulans
644,IRD-644,Nicotiana megalosiphon
645,IRD-645,Nicotiana umbratica
646,IRD-646,Nicotiana umbratica
647,IRD-647,Nicotiana umbratica
648,IRD-648,Nicotiana simulans
649,IRD-649,Nicotiana simulans
650,IRD-650,Nicotiana linearis
651,IRD-651,Nicotiana linearis
651,IRD-651,Nicotiana spegazzinii
652,IRD-652,Nicotiana spegazzinii
653,IRD-653,Nicotiana alata (Winged tobacco) (Persian tobacco)
653,IRD-653,Nicotiana tabacum (Common tobacco)
654,IRD-654,Nicotiana benthamiana
655,IRD-655,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
655,IRD-655,Nicotiana tabacum (Common tobacco)
656,IRD-656,Nicotiana tabacum (Common tobacco)
657,IRD-657,Nicotiana repanda
658,IRD-658,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
658,IRD-658,Nicotiana tabacum (Common tobacco)
659,IRD-659,Nicotiana rustica (Aztec tobacco)
660,IRD-660,Nicotiana rustica (Aztec tobacco)
661,IRD-661,Nicotiana alata (Winged tobacco) (Persian tobacco)
662,IRD-662,Nicotiana occidentalis subsp. hesperis
663,IRD-663,Nicotiana umbratica
664,IRD-664,Nicotiana cavicola
665,IRD-665,Nicotiana obtusifolia
666,IRD-666,Nicotiana corymbosa
666,IRD-666,Nicotiana acuminata (Acuminate tobacco)
667,IRD-667,Nicotiana pauciflora
668,IRD-668,Nicotiana miersii
669,IRD-669,Nicotiana benthamiana
669,IRD-669,Nicotiana umbratica
669,IRD-669,Nicotiana megalosiphon
670,IRD-670,Nicotiana simulans
671,IRD-671,Nicotiana cavicola
672,IRD-672,Nicotiana occidentalis subsp. hesperis
673,IRD-673,Nicotiana repanda
674,IRD-674,Nicotiana spegazzinii
675,IRD-675,Nicotiana sylvestris (Wood tobacco) (South American tobacco)
676,IRD-676,Parasponia andersonii (Sponia andersonii)
677,IRD-677,Dorcoceras hygrometricum
678,IRD-678,Handroanthus impetiginosus
679,IRD-679,Handroanthus impetiginosus
680,IRD-680,Coffea canephora (Robusta coffee)
681,IRD-681,Morus notabilis
682,IRD-682,Selaginella moellendorffii (Spikemoss)
683,IRD-683,Selaginella moellendorffii (Spikemoss)
684,IRD-684,Selaginella moellendorffii (Spikemoss)
685,IRD-685,Coffea canephora (Robusta coffee)
686,IRD-686,Selaginella moellendorffii (Spikemoss)
687,IRD-687,Saccharum hybrid cultivar R570
689,IRD-689,Solanum tuberosum (Potato)
690,IRD-690,Solanum tuberosum (Potato)
691,IRD-691,Solanum chacoense (Chaco potato)
692,IRD-692,Capsicum annuum (Bell pepper)
692,IRD-692,Capsicum chinense (Scotch bonnet) (Bonnet pepper)
693,IRD-693,Capsicum annuum (Bell pepper)
694,IRD-694,Selaginella moellendorffii (Spikemoss)
695,IRD-695,Selaginella moellendorffii (Spikemoss)
696,IRD-696,Selaginella moellendorffii (Spikemoss)
697,IRD-697,Selaginella moellendorffii (Spikemoss)
698,IRD-698,Cuscuta australis
